 A	EY
 SMILES	S M AY L Z
 SMILING	S M AY L IH NG
 SMITE	S M AY T
 SMOKE	S M OW K
 SMOKED	S M OW K T
 SMOKELESS	S M OW K L AH S
 SMOKES	S M OW K S
 SMOKING	S M OW K IH NG
 SMOKY	S M OW K IY
 SMOOTH	S M UW DH
 SMOOTHED	S M UW DH D
 SMOOTHING	S M UW DH IH NG
 SMOOTHNESS	S M UW DH N AH S
 SMOTE	S M OW T
 SMOTHERED	S M AH DH ER D
 SMOULDERING	S M OW L D IY R AH NG
 SMUDGE	S M AH JH
 SMUDGED	S M AH JH D
 SNAKE	S N EY K
 SNAKISH	S N EY K IH SH
 SNAP	S N AE P
 SNAPPED	S N AE P T
 SNARE	S N EH R
 SNARL	S N AA R L
 SNARLED	S N AA R AH L D
 SNATCHED	S N AE CH T
 SNATCHES	S N AE CH IH Z
 SNEER	S N IH R
 SNIGGER	S N IH G ER
 SNIPPY	S N IH P IY
 SNORING	S N AO R IH NG
 SNOW	S N OW
 SNOWCAPS	S N OW K AE P S
 SNUFF	S N AH F
 SNUFFBOX	S N AH F B AA K S
 SNUG	S N AH G
 SO	S OW
 SOAKED	S OW K T
 SOB	S AA B
 SOBBED	S AA B D
 SOBBING	S AA B IH NG
 SOBER	S OW B ER
 SOBERED	S OW B ER D
 SOCIAL	S OW SH AH L
 SOCIETY	S OW S AY IH T IY
 SOCKET	S AA K AH T
 SOCKS	S AA K S
 SODA	S OW D AH
 SODDEN	S AA D AH N
 SODOM	S AO D AH M
 SOFA	S OW F AH
 SOFT	S AA F T
 SOFTENED	S AO F AH N D
 SOFTENING	S AO F AH N IH NG
 SOFTENS	S AO F AH N Z
 SOFTLY	S AO F T L IY
 SOIE	S OY
 SOIL	S OY L
 SOLD	S OW L D
 SOLDER	S AA D ER
 SOLDIER	S OW L JH ER
 SOLDIERS	S OW L JH ER Z
 SOLE	S OW L
 SOLED	S OW L D
 SOLELY	S OW AH L IY
 SOLEMN	S AA L AH M
 SOLEMNLY	S AO L AH M L IY
 SOLES	S OW L Z
 SOLID	S AA L AH D
 SOLITARY	S AA L AH T EH R IY
 SOLITUDE	S AA L AH T UW D
 SOLUTION	S AH L UW SH AH N
 SOLVE	S AA L V
 SOLVED	S AA L V D
 SOMBRE	S AA M B ER
 SOME	S AH M
 SOMEBODY	S AH M B AA D IY
 SOMEDAY	S AH M D EY
 SOMEHOW	S AH M HH AW
 SOMETHING	S AH M TH IH NG
 SOMETIMES	S AH M T AY M Z
 SOMEWHAT	S AH M W AH T
 SOMEWHERE	S AH M W EH R
 SON	S AH N
 SONGS	S AO NG Z
 SONS	S AH N Z
 SOON	S UW N
 SOONER	S UW N ER
 SOOT	S UH T
 SOOTHED	S UW DH D
 SOOTHING	S UW DH IH NG
 SOOTHINGLY	S UW DH IH NG L IY
 SOPHY	S OW F IY
 SORE	S AO R
 SORELY	S AO R L IY
 SORROW	S AA R OW
 SORRY	S AA R IY
 SORT	S AO R T
 SOTS	S AA T S
 SOTTISH	S AA T AH SH
 SOUGHT	S AO T
 SOUL	S OW L
 SOULS	S OW L Z
 SOUND	S AW N D
 SOUNDED	S AW N D IH D
 SOUNDING	S AW N D IH NG
 SOUNDS	S AW N D Z
 SOUR	S AW ER
 SOURCE	S AO R S
 SOURCES	S AO R S AH Z
 SOUTH	S AW TH
 SOUTHAMPTON	S AW TH HH AE M P T AH N
 SOUTHEAST	S AW TH IY S T
 SOUTHERN	S AH DH ER N
 SOUTHWARD	S AW TH W ER D
 SOUTHWEST	S AW TH W EH S T
 SOUTHWESTERN	S AW TH W EH S T ER N
 SOUTHWESTWARD	S AW TH W EH S T W ER D
 SOUVENIR	S UW V AH N IH R
 SOVEREIGN	S AA V R AH N
 SPACE	S P EY S
 SPADE	S P EY D
 SPADES	S P EY D Z
 SPAN	S P AE N
 SPANKING	S P AE NG K IH NG
 SPARE	S P EH R
 SPARED	S P EH R D
 SPARING	S P EH R IH NG
 SPARK	S P AA R K
 SPARKLED	S P AA R K AH L D
 SPARKLES	S P AA R K AH L Z
 SPARKS	S P AA R K S
 SPASMODIC	S P AE Z M AO D IH K
 SPATTERED	S P AE T ER D
 SPEAK	S P IY K
 SPEAKER	S P IY K ER
 SPEAKING	S P IY K IH NG
 SPEAKS	S P IY K S
 SPECIAL	S P EH SH AH L
 SPECIES	S P IY SH IY Z
 SPECIMEN	S P EH S AH M AH N
 SPECIOUSLY	S P IY SH AH S L IY
 SPECK	S P EH K
 SPECKLED	S P EH K AH L D
 SPECKLES	S P EH K AH L Z
 SPECKS	S P EH K S
 SPECTACLE	S P EH K T AH K AH L
 SPECTACLES	S P EH K T AH K AH L Z
 SPECTATORS	S P EH K T EY T ER Z
 SPECTROSCOPE	S P EH K T R AH S OW P
 SPECTRUM	S P EH K T R AH M
 SPECULATION	S P EH K Y AH L EY SH AH N
 SPEECH	S P IY CH
 SPEED	S P IY D
 SPEEDILY	S P IY D AH L IY
 SPEEDING	S P IY D IH NG
 SPEEDY	S P IY D IY
 SPELL	S P EH L
 SPELLBOUND	S P EH L B AW N D
 SPENCE	S P EH N S
 SPEND	S P EH N D
 SPENT	S P EH N T
 SPIDERLIKE	S P AY D ER L AY K
 SPIES	S P AY Z
 SPINE	S P AY N
 SPINNEYS	S P IH N EY Z
 SPINNING	S P IH N IH NG
 SPIRE	S P AY R
 SPIRES	S P AY R Z
 SPIRIT	S P IH R AH T
 SPIRITS	S P IH R IH T S
 SPIT	S P IH T
 SPITE	S P AY T
 SPLASH	S P L AE SH
 SPLASHED	S P L AE SH T
 SPLASHES	S P L AE SH IH Z
 SPLASHING	S P L AE SH IH NG
 SPLENDIDLY	S P L EH N D AH D L IY
 SPLENDOR	S P L EH N D ER
 SPLENDOUR	S P L EH N D AH R
 SPLINTERS	S P L IH N T ER Z
 SPLIT	S P L IH T
 SPLITTING	S P L IH T IH NG
 SPOILED	S P OY L D
 SPOILS	S P OY L Z
 SPOILT	S P OY L T
 SPOKE	S P OW K
 SPOKEN	S P OW K AH N
 SPONGE	S P AH N JH
 SPONGED	S P AH N JH D
 SPONGY	S P AH N JH IY
 SPOON	S P UW N
 SPORADIC	S P ER AE D IH K
 SPORT	S P AO R T
 SPOT	S P AA T
 SPOTS	S P AA T S
 SPOTTED	S P AA T AH D
 SPOUT	S P AW T
 SPOUTING	S P AW T IH NG
 SPRANG	S P R AE NG
 SPRAY	S P R EY
 SPREAD	S P R EH D
 SPREADING	S P R EH D IH NG
 SPRIG	S P R IH G
 SPRING	S P R IH NG
 SPRINGING	S P R IH NG IH NG
 SPRINGS	S P R IH NG Z
 SPRUNG	S P R AH NG
 SPUN	S P AH N
 SPURT	S P ER T
 SPURTING	S P ER T IH NG
 SPURTS	S P ER T S
 SQUAD	S K W AA D
 SQUADRON	S K W AA D R AH N
 SQUALID	S K W AA L AH D
 SQUANDER	S K W AA N D ER
 SQUARE	S K W EH R
 SQUAT	S K W AA T
 SQUATTED	S K W AA T IH D
 SQUEAL	S K W IY L
 SQUEEZED	S K W IY Z D
 SQUIRE	S K W AY R
 SQUIRTED	S K W ER T AH D
 ST	EH S T
 STABBED	S T AE B D
 STABLE	S T EY B AH L
 STABLES	S T EY B AH L Z
 STACCATO	S T AH K AA T OW
 STAGE	S T EY JH
 STAGES	S T EY JH IH Z
 STAGGER	S T AE G ER
 STAGGERED	S T AE G ER D
 STAGGERING	S T AE G ER IH NG
 STAIN	S T EY N
 STAINED	S T EY N D
 STAINES	S T EY N Z
 STAINS	S T EY N Z
 STAIR	S T EH R
 STAIRCASE	S T EH R K EY S
 STAIRCASES	S T EH R K EY S IH Z
 STAIRS	S T EH R Z
 STAKE	S T EY K
 STALE	S T EY L
 STALKED	S T AO K T
 STALL	S T AO L
 STALLS	S T AO L Z
 STALWART	S T AO L W ER T
 STAMMERED	S T AE M ER D
 STAMP	S T AE M P
 STAMPED	S T AE M P T
 STAMPING	S T AE M P IH NG
 STAND	S T AE N D
 STANDARD	S T AE N D ER D
 STANDI	S T AE N D IY
 STANDING	S T AE N D IH NG
 STANDS	S T AE N D Z
 STAPLES	S T EY P AH L Z
 STAR	S T AA R
 STARDUST	S T AA R D AH S T
 STARE	S T EH R
 STARED	S T EH R D
 STARES	S T EH R Z
 STARING	S T EH R IH NG
 STARK	S T AA R K
 STARLIGHT	S T AA R L AY T
 STARS	S T AA R Z
 START	S T AA R T
 STARTED	S T AA R T AH D
 STARTING	S T AA R T IH NG
 STARTLED	S T AA R T AH L D
 STARTLING	S T AA R T L IH NG
 STARTS	S T AA R T S
 STARVING	S T AA R V IH NG
 STATE	S T EY T
 STATED	S T EY T IH D
 STATELY	S T EY T L IY
 STATEMENT	S T EY T M AH N T
 STATEMENTS	S T EY T M AH N T S
 STATES	S T EY T S
 STATION	S T EY SH AH N
 STATIONARY	S T EY SH AH N EH R IY
 STATIONS	S T EY SH AH N Z
 STATUS	S T AE T AH S
 STAY	S T EY
 STAYING	S T EY IH NG
 STEADFASTLY	S T EH D F AE S T L IY
 STEADILY	S T EH D AH L IY
 STEADINGS	S T EH D IH NG Z
 STEADY	S T EH D IY
 STEAL	S T IY L
 STEALTHILY	S T EH L TH IY L IY
 STEAM	S T IY M
 STEAMBOATS	S T IY M B OW T S
 STEAMED	S T IY M D
 STEAMER	S T IY M ER
 STEAMING	S T IY M IH NG
 STEEL	S T IY L
 STEELY	S T IY L IY
 STEEP	S T IY P
 STEMS	S T EH M Z
 STENT	S T EH N T
 STEP	S T EH P
 STEPPED	S T EH P T
 STEPPING	S T EH P IH NG
 STEPS	S T EH P S
 STEREOTYPED	S T EH R IY OW T AY P T
 STERN	S T ER N
 STERNER	S T ER N ER
 STERNLY	S T ER N L IY
 STEVEDORE	S T IY V AH D AO R
 STEVENSON	S T IY V AH N S AH N
 STICK	S T IH K
 STICKING	S T IH K IH NG
 STICKS	S T IH K S
 STIFF	S T IH F
 STIFFNESS	S T IH F N AH S
 STIFLING	S T AY F L IH NG
 STILE	S T AY L
 STILL	S T IH L
 STILLED	S T IH L D
 STILLNESS	S T IH L N AH S
 STILTS	S T IH L T S
 STIMULANT	S T IH M Y AH L AH N T
 STINGING	S T IH NG IH NG
 STIR	S T ER
 STIRRED	S T ER D
 STIRRING	S T ER IH NG
 STOCK	S T AA K
 STOCKED	S T AA K T
 STOKE	S T OW K
 STOKERS	S T OW K ER Z
 STOLE	S T OW L
 STOLEN	S T OW L AH N
 STONE	S T OW N
 STONER	S T OW N ER
 STONES	S T OW N Z
 STOOD	S T UH D
 STOOL	S T UW L
 STOOP	S T UW P
 STOOPED	S T UW P T
 STOOPING	S T UW P IH NG
 STOP	S T AA P
 STOPER	S T AA P ER
 STOPPED	S T AA P T
 STOPPING	S T AA P IH NG
 STORED	S T AO R D
 STORIED	S T AO R IY D
 STORIES	S T AO R IY Z
 STORM	S T AO R M
 STORMS	S T AO R M Z
 STORMY	S T AO R M IY
 STORY	S T AO R IY
 STOUT	S T AW T
 STOUTLY	S T AW T L IY
 STRAGGLING	S T R AE G AH L IH NG
 STRAIGHT	S T R EY T
 STRAIGHTEN	S T R EY T AH N
 STRAIGHTENED	S T R EY T AH N D
 STRAIN	S T R EY N
 STRAINED	S T R EY N D
 STRAINING	S T R EY N IH NG
 STRAND	S T R AE N D
 STRANGE	S T R EY N JH
 STRANGELY	S T R EY N JH L IY
 STRANGENESS	S T R EY N JH N AH S
 STRANGER	S T R EY N JH ER
 STRANGERS	S T R EY N JH ER Z
 STRANGEST	S T R EY N JH IH S T
 STRAW	S T R AO
 STRAWBERRIES	S T R AO B EH R IY Z
 STRAY	S T R EY
 STRAYED	S T R EY D
 STREAK	S T R IY K
 STREAKED	S T R IY K T
 STREAM	S T R IY M
 STREAMED	S T R IY M D
 STREAMER	S T R IY M ER
 STREAMERS	S T R IY M ER Z
 STREAMING	S T R IY M IH NG
 STREATHAM	S T R IY TH AH M
 STREET	S T R IY T
 STREETS	S T R IY T S
 STRENGTH	S T R EH NG K TH
 STRENGTHEN	S T R EH NG TH AH N
 STRENUOUSLY	S T R EH N Y UW AH S L IY
 STRESS	S T R EH S
 STRETCH	S T R EH CH
 STRETCHED	S T R EH CH T
 STRETCHES	S T R EH CH AH Z
 STRETCHING	S T R EH CH IH NG
 STRICKEN	S T R IH K AH N
 STRIDE	S T R AY D
 STRIDES	S T R AY D Z
 STRIDING	S T R AY D IH NG
 STRIKE	S T R AY K
 STRIKES	S T R AY K S
 STRIKING	S T R AY K IH NG
 STRING	S T R IH NG
 STRIP	S T R IH P
 STRIPES	S T R AY P S
 STRIPPED	S T R IH P T
 STRITE	S T R AY T
 STRIVING	S T R AY V IH NG
 STRODE	S T R OW D
 STROKE	S T R OW K
 STROLL	S T R OW L
 STROLLED	S T R OW L D
 STRONG	S T R AO NG
 STRONGER	S T R AO NG G ER
 STRONGEST	S T R AO NG G AH S T
 STRONGLY	S T R AO NG L IY
 STROUD	S T R AW D
 STRUCK	S T R AH K
 STRUGGLE	S T R AH G AH L
 STRUGGLED	S T R AH G AH L D
 STRUGGLING	S T R AH G AH L IH NG
 STUCK	S T AH K
 STUDENT	S T UW D AH N T
 STUDENTS	S T UW D AH N T S
 STUDIED	S T AH D IY D
 STUDIES	S T AH D IY Z
 STUDY	S T AH D IY
 STUDYING	S T AH D IY IH NG
 STUFF	S T AH F
 STUFFED	S T AH F T
 STUFFS	S T AH F S
 STUMBLE	S T AH M B AH L
 STUMBLED	S T AH M B AH L D
 STUMBLING	S T AH M B AH L IH NG
 STUMP	S T AH M P
 STUNG	S T AH NG
 STUNNED	S T AH N D
 STUPEFIED	S T UW P AH F AY D
 STUPEFYING	S T UW P AH F AY IH NG
 STUPID	S T UW P AH D
 STURDY	S T ER D IY
 STYLE	S T AY L
 SUAVELY	S W AA V L IY
 SUBDUED	S AH B D UW D
 SUBDUING	S AH B D UW IH NG
 SUBJECT	S AH B JH EH K T
 SUBJECTED	S AH B JH EH K T IH D
 SUBMERGED	S AH B M ER JH D
 SUBMIT	S AH B M IH T
 SUBMITTED	S AH B M IH T AH D
 SUBSIDED	S AH B S AY D IH D
 SUBSTANCE	S AH B S T AH N S
 SUBTLE	S AH T AH L
 SUBTLETY	S AH T AH L T IY
 SUBURB	S AH B ER B
 SUBURBAN	S AH B ER B AH N
 SUBURBS	S AH B ER B Z
 SUCCEED	S AH K S IY D
 SUCCEEDED	S AH K S IY D AH D
 SUCCESS	S AH K S EH S
 SUCCESSES	S AH K S EH S AH Z
 SUCCESSFUL	S AH K S EH S F AH L
 SUCCESSION	S AH K S EH SH AH N
 SUCCESSIVE	S AH K S EH S IH V
 SUCCESSORS	S AH K S EH S ER Z
 SUCH	S AH CH
 SUCKED	S AH K T
 SUDDEN	S AH D AH N
 SUDDENLY	S AH D AH N L IY
 SUFFER	S AH F ER
 SUFFERED	S AH F ER D
 SUFFERER	S AH F ER ER
 SUFFERING	S AH F ER IH NG
 SUFFICED	S AH F AY S T
 SUFFICIENT	S AH F IH SH AH N T
 SUFFICIENTLY	S AH F IH SH AH N T L IY
 SUFFOCATION	S AH F AH K EY SH AH N
 SUGGEST	S AH JH EH S T
 SUGGESTED	S AH JH EH S T AH D
 SUGGESTION	S AH JH EH S CH AH N
 SUGGESTIVE	S AH JH EH S T IH V
 SUGGESTIVENESS	S AH JH EH S T IH V N AH S
 SUGGESTS	S AH JH EH S T S
 SUICIDE	S UW AH S AY D
 SUIT	S UW T
 SUITE	S W IY T
 SUITOR	S UW T ER
 SUITS	S UW T S
 SULKING	S AH L K IH NG
 SULLENLY	S AH L AH N L IY
 SUM	S AH M
 SUMMARILY	S AH M EH R IH L IY
 SUMMARIZE	S AH M ER AY Z
 SUMMER	S AH M ER
 SUMMERHOUSE	S AH M ER HH AW S
 SUMMIT	S AH M AH T
 SUMMONED	S AH M AH N D
 SUMMONS	S AH M AH N Z
 SUMMONSES	S AH M AH N Z IH Z
 SUMS	S AH M Z
 SUN	S AH N
 SUNBEAM	S AH N B IY M
 SUNBURNT	S AH N B ER N T
 SUNBURY	S AH N B EH R IY
 SUNDAY	S AH N D EY
 SUNDIAL	S AH N D AY L
 SUNDIALS	S AH N D AY AH L Z
 SUNK	S AH NG K
 SUNKEN	S AH NG K AH N
 SUNLIGHT	S AH N L AY T
 SUNNY	S AH N IY
 SUNSET	S AH N S EH T
 SUNSHINE	S AH N SH AY N
 SUNWARD	S AH N W ER D
 SUPERFICIAL	S UW P ER F IH SH AH L
 SUPERIOR	S UW P IH R IY ER
 SUPERSCRIPTION	S UW P ER S K R IH P SH AH N
 SUPPER	S AH P ER
 SUPPING	S AH P IH NG
 SUPPLEMENTING	S AH P L AH M EH N T IH NG
 SUPPLIED	S AH P L AY D
 SUPPLIER	S AH P L AY ER
 SUPPLIERS	S AH P L AY ER Z
 SUPPLY	S AH P L AY
 SUPPORT	S AH P AO R T
 SUPPORTERS	S AH P AO R T ER Z
 SUPPORTING	S AH P AO R T IH NG
 SUPPOSE	S AH P OW Z
 SUPPOSED	S AH P OW Z D
 SUPPOSING	S AH P OW Z IH NG
 SUPPOSITION	S AH P AH Z IH SH AH N
 SUPPRESSING	S AH P R EH S IH NG
 SURE	SH UH R
 SURELY	SH UH R L IY
 SUREST	SH UH R IH S T
 SURFACE	S ER F AH S
 SURGEON	S ER JH AH N
 SURLY	S ER L IY
 SURMISE	S ER M AY Z
 SURMOUNTED	S ER M AW N T IH D
 SURPRISE	S ER P R AY Z
 SURPRISED	S ER P R AY Z D
 SURREY	S ER IY
 SURROUNDED	S ER AW N D AH D
 SURROUNDING	S ER AW N D IH NG
 SURROUNDINGS	S ER AW N D IH NG Z
 SURROUNDS	S ER AW N D Z
 SURVEYING	S ER V EY IH NG
 SURVIVED	S ER V AY V D
 SURVIVOR	S ER V AY V ER
 SURVIVORS	S ER V AY V ER Z
 SUSPECT	S AH S P EH K T
 SUSPECTED	S AH S P EH K T AH D
 SUSPECTING	S AH S P EH K T IH NG
 SUSPENDED	S AH S P EH N D AH D
 SUSPENSE	S AH S P EH N S
 SUSPICION	S AH S P IH SH AH N
 SUSPICIONS	S AH S P IH SH AH N Z
 SUSPICIOUS	S AH S P IH SH AH S
 SUSSEX	S AH S IH K S
 SUTHERLAND	S AH DH ER L AH N D
 SWAG	S W AE G
 SWAIN	S W EY N
 SWALLOWED	S W AA L OW D
 SWAMP	S W AA M P
 SWAN	S W AA N
 SWANDAM	S W AA N D AE M
 SWARM	S W AO R M
 SWARMING	S W AO R M IH NG
 SWASH	S W AA SH
 SWAYED	S W EY D
 SWAYING	S W EY IH NG
 SWEAR	S W EH R
 SWEAT	S W EH T
 SWEATING	S W EH T IH NG
 SWEEP	S W IY P
 SWEEPING	S W IY P IH NG
 SWEET	S W IY T
 SWEETHEART	S W IY T HH AA R T
 SWEETLY	S W IY T L IY
 SWELLED	S W EH L D
 SWEPT	S W EH P T
 SWERVED	S W ER V D
 SWIFT	S W IH F T
 SWIFTLY	S W IH F T L IY
 SWIFTNESS	S W IH F T N AH S
 SWIM	S W IH M
 SWIMMER	S W IH M ER
 SWIMMING	S W IH M IH NG
 SWIMS	S W IH M Z
 SWINDON	S W IH N D AH N
 SWING	S W IH NG
 SWINGING	S W IH NG IH NG
 SWISH	S W IH SH
 SWOLLEN	S W OW L AH N
 SWORD	S AO R D
 SWORDSMAN	S OW R D Z M AE N
 SWORE	S W AO R
 SWORN	S W AO R N
 SWUNG	S W AH NG
 SYLLABLES	S IH L AH B AH L Z
 SYMPATHETIC	S IH M P AH TH EH T IH K
 SYMPATHY	S IH M P AH TH IY
 SYMPTOM	S IH M P T AH M
 SYMPTOMS	S IH M P T AH M Z
 SYNTHESIS	S IH N TH AH S AH S
 SYSTEM	S IH S T AH M
 SYSTEMATIC	S IH S T AH M AE T IH K
 TABLE	T EY B AH L
 TABLECLOTH	T EY B AH L K L AO TH
 TACKLE	T AE K AH L
 TAIL	T EY L
 TAILED	T EY L D
 TAILING	T EY L IH NG
 TAILLESS	T EY L AH S
 TAILS	T EY L Z
 TAKE	T EY K
 TAKEN	T EY K AH N
 TAKES	T EY K S
 TAKETH	T EY K AH TH
 TAKING	T EY K IH NG
 TAKINGS	T EY K IH NG Z
 TALE	T EY L
 TALENT	T AE L AH N T
 TALES	T EY L Z
 TALK	T AO K
 TALKED	T AO K T
 TALKER	T AO K ER
 TALKING	T AO K IH NG
 TALL	T AO L
 TALLER	T AO L ER
 TALLIED	T AE L IY D
 TALLIES	T AE L IY Z
 TALLISH	T AO L IH SH
 TALLOW	T AE L OW
 TAMERS	T EY M ER Z
 TANG	T AE NG
 TANGIBLE	T AE N JH AH B AH L
 TANGLE	T AE NG G AH L
 TANGLED	T AE NG G AH L D
 TANKERVILLE	T AE NG K AH R V AH L
 TAP	T AE P
 TAPPED	T AE P T
 TAPPING	T AE P IH NG
 TAPROOM	T AE P R UW M
 TASK	T AE S K
 TASMANIANS	T AE Z M EY N IY AH N Z
 TASSEL	T AE S AH L
 TASTE	T EY S T
 TATTERED	T AE T ER D
 TAWNY	T AA N IY
 TAX	T AE K S
 TEA	T IY
 TEACH	T IY CH
 TEAR	T EH R
 TEARING	T EH R IH NG
 TEARS	T EH R Z
 TECHNICAL	T EH K N IH K AH L
 TEDIOUS	T IY D IY AH S
 TEDIOUSLY	T IY D IY AH S L IY
 TEETH	T IY TH
 TEETOTALER	T IY T OW T EY L ER
 TELEGRAM	T EH L AH G R AE M
 TELEGRAMS	T EH L AH G R AE M Z
 TELEGRAPH	T EH L AH G R AE F
 TELEGRAPHED	T EH L AH G R AE F T
 TELEGRAPHIC	T EH L AH G R AE F IH K
 TELEPHONE	T EH L AH F OW N
 TELESCOPE	T EH L AH S K OW P
 TELESCOPES	T EH L AH S K OW P S
 TELESCOPIC	T EH L AH S K AO P IH K
 TELL	T EH L
 TELLER	T EH L ER
 TELLING	T EH L IH NG
 TELLS	T EH L Z
 TEMPER	T EH M P ER
 TEMPERATE	T EH M P R AH T
 TEMPERATURE	T EH M P R AH CH ER
 TEMPERED	T EH M P ER D
 TEMPLES	T EH M P AH L Z
 TEMPORARY	T EH M P ER EH R IY
 TEMPTATION	T EH M T EY SH AH N
 TEMPTED	T EH M P T AH D
 TEN	T EH N
 TENABLE	T EH N AH B AH L
 TENANT	T EH N AH N T
 TEND	T EH N D
 TENDED	T EH N D AH D
 TENDENCIES	T EH N D AH N S IY Z
 TENDER	T EH N D ER
 TENFOLD	T EH N F OW L D
 TENNESSEE	T EH N AH S IY
 TENSE	T EH N S
 TENSELY	T EH N S L IY
 TENSION	T EH N SH AH N
 TENTACLES	T EH N T AH K AH L Z
 TENTACULAR	T EH N T AH S Y AH L AH R
 TENTH	T EH N TH
 TENTS	T EH N T S
 TERM	T ER M
 TERMINATION	T ER M AH N EY SH AH N
 TERMINUS	T ER M AH N AH S
 TERMS	T ER M Z
 TERRACE	T EH R AH S
 TERRACED	T EH R AH S T
 TERRACES	T EH R AH S AH Z
 TERRESTRIAL	T ER EH S T R IY AH L
 TERRIBLE	T EH R AH B AH L
 TERRIBLY	T EH R AH B L IY
 TERRIFIED	T EH R AH F AY D
 TERROR	T EH R ER
 TERRORIZING	T EH R AH R AY Z IH NG
 TERRORS	T EH R AH R Z
 TERSE	T ER S
 TEST	T EH S T
 TESTAMENT	T EH S T AH M AH N T
 TESTED	T EH S T IH D
 TEXAS	T EH K S AH S
 TEXT	T EH K S T
 TH	T IY EY CH
 THAMES	T EH M Z
 THAN	DH AE N
 THANK	TH AE NG K
 THANKED	TH AE NG K T
 THANKS	TH AE NG K S
 THAT	DH AE T
 THE	DH AH
 THEATRE	TH IY AH T ER
 THEFT	TH EH F T
 THEIR	DH EH R
 THEIRS	DH EH R Z
 THEM	DH EH M
 THEMSELVES	DH EH M S EH L V Z
 THEN	DH EH N
 THENCE	DH EH N S
 THENKS	TH EH NG K S
 THEODOLITE	TH IY AA D AH L AY T
 THEOLOGICAL	TH IY AH L AA JH IH K AH L
 THEORIES	TH IH R IY Z
 THEORY	TH IH R IY
 THERE	DH EH R
 THEREBY	DH EH R B AY
 THEREFORE	DH EH R F AO R
 THEREFROM	DH AE R F R AH M
 THEREIN	DH EH R IH N
 THESE	DH IY Z
 THEY	DH EY
 THICK	TH IH K
 THICKENING	TH IH K AH N IH NG
 THICKET	TH IH K IH T
 THICKLY	TH IH K L IY
 THICKNESS	TH IH K N AH S
 THIEF	TH IY F
 THIEVES	TH IY V Z
 THIN	TH IH N
 THING	TH IH NG
 THINGS	TH IH NG Z
 THINK	TH IH NG K
 THINKER	TH IH NG K ER
 THINKING	TH IH NG K IH NG
 THINKS	TH IH NG K S
 THINNESS	TH IH N N IH S
 THIRD	TH ER D
 THIRST	TH ER S T
 THIRSTY	TH ER S T IY
 THIRTY	TH ER D IY
 THIS	DH IH S
 THITHER	TH IH DH ER
 THOROUGHFARE	TH ER OW F EH R
 THOROUGHFARES	TH ER OW F EH R Z
 THOROUGHLY	TH ER OW L IY
 THOSE	DH OW Z
 THOUGH	DH OW
 THOUGHT	TH AO T
 THOUGHTFUL	TH AO T F AH L
 THOUGHTFULLY	TH AO T F AH L IY
 THOUGHTLESS	TH AO T L AH S
 THOUGHTS	TH AO T S
 THOUSAND	TH AW Z AH N D
 THOUSANDS	TH AW Z AH N D Z
 THREAD	TH R EH D
 THREADNEEDLE	TH R EH D N IY D AH L
 THREADS	TH R EH D Z
 THREAT	TH R EH T
 THREATEN	TH R EH T AH N
 THREATENED	TH R EH T AH N D
 THREATENING	TH R EH T AH N IH NG
 THREATENS	TH R EH T AH N Z
 THREATS	TH R EH T S
 THREE	TH R IY
 THREEPENCE	TH R IY P AH N S
 THREES	TH R IY Z
 THRESHOLD	TH R EH SH OW L D
 THRESHOLDS	TH R EH SH OW L D Z
 THREW	TH R UW
 THRILL	TH R IH L
 THRILLING	TH R IH L IH NG
 THROAT	TH R OW T
 THROATS	TH R OW T S
 THROBBED	TH R AA B D
 THROBBING	TH R AA B IH NG
 THRONE	TH R OW N
 THROUGH	TH R UW
 THROUGHOUT	TH R UW AW T
 THROW	TH R OW
 THROWING	TH R OW IH NG
 THROWN	TH R OW N
 THROWS	TH R OW Z
 THRUST	TH R AH S T
 THRUSTING	TH R AH S T IH NG
 THUD	TH AH D
 THUDDING	TH AH D IH NG
 THUMB	TH AH M
 THUNDER	TH AH N D ER
 THUNDERCLAPS	TH AH N D ER K L AE P S
 THUNDEROUS	TH AH N D ER AH S
 THUNDERSTORM	TH AH N D ER S T AO R M
 THUS	DH AH S
 TIARA	T IY AA R AH
 TICKET	T IH K AH T
 TICKETS	T IH K AH T S
 TICKING	T IH K IH NG
 TIDAL	T AY D AH L
 TIDE	T AY D
 TIDINGS	T AY D IH NG Z
 TIDY	T AY D IY
 TIE	T AY
 TIED	T AY D
 TIGER	T AY G ER
 TIGHT	T AY T
 TIGHTLY	T AY T L IY
 TILES	T AY L Z
 TILL	T IH L
 TILTED	T IH L T AH D
 TIMBERED	T IH M B ER D
 TIME	T AY M
 TIMES	T AY M Z
 TIMID	T IH M IH D
 TIN	T IH N
 TINGE	T IH N JH
 TINGED	T IH NG D
 TINIEST	T AY N IY AH S T
 TINT	T IH N T
 TINTED	T IH N T IH D
 TINY	T AY N IY
 TIP	T IH P
 TIPS	T IH P S
 TIPTOES	T IH P T OW Z
 TIRE	T AY ER
 TIRED	T AY ER D
 TISSUE	T IH S Y UW
 TITAN	T AY T AH N
 TO	T UW
 TOBACCO	T AH B AE K OW
 TOBACCONIST	T AH B AE K AH N AH S T
 TOCSIN	T AA K S AH N
 TOE	T OW
 TOGETHER	T AH G EH DH ER
 TOKEN	T OW K AH N
 TOLD	T OW L D
 TOLLER	T OW L ER
 TOLLERS	T OW L ER Z
 TOMBOY	T AA M B OY
 TOMFOOLERY	T AA M F UW L AH R IY
